Generated on DKR10 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 19 , 85 , 693 , 2684 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 14 , 74 , 660 , 2731 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 13 , 69 , 681 , 2756 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 25 , 95 , 680 , 2688 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 20 , 86 , 680 , 2687 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 19 , 88 , 640 , 2700 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 26 , 101 , 626 , 2668 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 41 , 135 , 612 , 2647 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 53 , 159 , 656 , 2529 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 31 , 114 , 628 , 2657 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 23 , 94 , 663 , 2651 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 15 , 73 , 659 , 2740 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 39 , 135 , 662 , 2618 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0.0002 , 18 , 73 , 682 , 2737 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 18 , 81 , 655 , 2724 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 14 , 70 , 703 , 2723 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 13 , 71 , 696 , 2721 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0.0001 , 27 , 102 , 686 , 2661 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 4 , 41 , 755 , 2778 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 24 , 97 , 681 , 2673 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 20 , 88 , 700 , 2688 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 18 , 83 , 651 , 2714 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 36 , 122 , 657 , 2622 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 25 , 100 , 662 , 2682 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 23 , 96 , 688 , 2659 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 5 , 44 , 747 , 2775 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 24 , 97 , 641 , 2697 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 19 , 85 , 648 , 2684 , 
