Generated on DKR11 at https://github.com/polgreen/BaeVer/tree/210b1ebd4dfb5639cc9ebc4c0fc59eeb63f5eb20,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 10 , 59 , 3 , 23 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0004 , 17 , 66 , 7 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0006 , 15 , 60 , 8 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 10 , 57 , 9 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 9 , 68 , 12 , 33 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0003 , 13 , 55 , 9 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0033 , 20 , 64 , 11 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0083 , 18 , 55 , 7 , 23 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 9 , 61 , 9 , 44 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 14 , 61 , 8 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 14 , 64 , 2 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 13 , 62 , 11 , 41 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0009 , 14 , 56 , 11 , 38 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0357 , 20 , 52 , 10 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 11 , 68 , 7 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 12 , 62 , 11 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0075 , 15 , 48 , 9 , 37 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 9 , 64 , 6 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0059 , 20 , 62 , 7 , 28 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0286 , 18 , 49 , 4 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0282 , 20 , 53 , 9 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0001 , 13 , 59 , 9 , 27 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0197 , 22 , 60 , 18 , 41 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0137 , 17 , 51 , 10 , 23 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0009 , 18 , 66 , 8 , 41 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 13 , 59 , 7 , 27 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 11 , 59 , 8 , 36 , 
